id,Machine failure,Probability
136637,0,0.0031
136638,1,0.9967
136639,0,0.0066
136640,0,0.0121
136641,0,0.0022
136642,0,0.0021
136643,0,0.0425
136644,0,0.001
136645,0,0.0008
136646,0,0.0008
136647,0,0.0119
136648,0,0.018
136649,0,0.0022
136650,0,0.005
136651,0,0.001
136652,1,0.9897
136653,0,0.0016
136654,0,0.0018
136655,0,0.0048
136656,0,0.0044
136657,0,0.0036
136658,0,0.0018
136659,0,0.002
136660,0,0.0018
136661,0,0.0044
136662,0,0.0113
136663,0,0.0025
136664,0,0.0183
136665,0,0.0014
136666,0,0.0004
136667,0,0.0178
136668,0,0.0032
136669,0,0.0023
136670,0,0.0043
136671,0,0.0017
136672,0,0.0022
136673,0,0.0012
136674,0,0.0006
136675,0,0.0031
136676,0,0.0027
136677,0,0.003
136678,0,0.0012
136679,0,0.002
136680,0,0.0068
136681,0,0.0016
136682,0,0.0017
136683,0,0.0015
136684,0,0.0049
136685,0,0.01
136686,0,0.0023
136687,0,0.005
136688,0,0.0055
136689,0,0.006
136690,0,0.0034
136691,0,0.0154
136692,0,0.0027
136693,0,0.0008
136694,0,0.0009
136695,0,0.0018
136696,0,0.0057
136697,0,0.0005
136698,0,0.0069
136699,0,0.0044
136700,0,0.0016
136701,0,0.002
136702,0,0.0011
136703,0,0.0085
136704,0,0.0006
136705,0,0.0006
136706,0,0.0014
136707,0,0.0038
136708,0,0.0117
136709,0,0.0002
136710,0,0.002
136711,0,0.0039
136712,0,0.0004
136713,0,0.0023
136714,0,0.014
136715,0,0.0072
136716,0,0.0014
136717,0,0.0046
136718,0,0.0144
136719,0,0.0026
136720,0,0.0002
136721,0,0.0019
136722,0,0.0011
136723,0,0.0019
136724,0,0.0023
136725,0,0.0028
136726,0,0.0013
136727,0,0.0013
136728,0,0.0009
136729,0,0.0028
136730,0,0.0009
136731,0,0.0106
136732,0,0.0027
136733,0,0.0021
136734,0,0.0016
136735,0,0.0016
136736,0,0.0023
136737,0,0.0013
136738,0,0.0019
136739,0,0.0058
136740,0,0.0019
136741,0,0.0221
136742,0,0.0026
136743,0,0.003
136744,0,0.0018
136745,0,0.0055
136746,0,0.0021
136747,0,0.0021
136748,0,0.0011
136749,0,0.0008
136750,0,0.0035
136751,0,0.0018
136752,0,0.0009
136753,0,0.0161
136754,0,0.0022
136755,0,0.013
136756,0,0.0013
136757,0,0.0101
136758,0,0.0018
136759,0,0.0026
136760,0,0.0016
136761,0,0.0011
136762,0,0.0275
136763,0,0.0026
136764,0,0.0017
136765,0,0.0037
136766,0,0.0036
136767,0,0.0057
136768,0,0.0016
136769,0,0.0027
136770,0,0.0021
136771,0,0.0037
136772,0,0.0141
136773,0,0.0011
136774,0,0.0013
136775,0,0.012
136776,0,0.0005
136777,0,0.0014
136778,0,0.0027
136779,0,0.0023
136780,0,0.0006
136781,0,0.0066
136782,0,0.002
136783,0,0.0004
136784,0,0.0012
136785,0,0.0038
136786,0,0.0024
136787,0,0.0043
136788,0,0.0142
136789,0,0.0019
136790,0,0.0007
136791,0,0.0023
136792,0,0.0057
136793,0,0.0013
136794,0,0.0054
136795,0,0.0035
136796,0,0.0032
136797,0,0.0033
136798,0,0.0052
136799,0,0.0027
136800,0,0.0023
136801,0,0.0013
136802,0,0.0027
136803,0,0.0017
136804,0,0.0014
136805,0,0.0029
136806,0,0.0007
136807,0,0.0022
136808,0,0.0017
136809,0,0.0009
136810,0,0.0053
136811,0,0.0084
136812,0,0.0006
136813,0,0.0159
136814,0,0.0029
136815,0,0.0006
136816,0,0.0009
136817,0,0.0011
136818,0,0.0059
136819,0,0.0007
136820,0,0.001
136821,0,0.0012
136822,0,0.0119
136823,0,0.0018
136824,0,0.0006
136825,0,0.0018
136826,1,0.9975
136827,0,0.0004
136828,0,0.0011
136829,0,0.0033
136830,0,0.0024
136831,0,0.0012
136832,0,0.0027
136833,0,0.0008
136834,1,0.999
136835,0,0.0026
136836,0,0.0018
136837,0,0.002
136838,0,0.0024
136839,0,0.0007
136840,0,0.0034
136841,0,0.0051
136842,0,0.0025
136843,0,0.0011
136844,0,0.0032
136845,0,0.0029
136846,0,0.0017
136847,0,0.0007
136848,0,0.0018
136849,0,0.002
136850,0,0.0033
136851,0,0.0016
136852,0,0.0044
136853,0,0.0044
136854,0,0.0017
136855,0,0.0036
136856,0,0.0218
136857,0,0.0039
136858,0,0.0026
136859,0,0.001
136860,0,0.0017
136861,0,0.0011
136862,0,0.0053
136863,0,0.0008
136864,0,0.0004
136865,0,0.0032
136866,0,0.0027
136867,0,0.0078
136868,0,0.0014
136869,0,0.0027
136870,0,0.0035
136871,0,0.0009
136872,0,0.0034
136873,0,0.0008
136874,0,0.0006
136875,0,0.0017
136876,0,0.001
136877,0,0.003
136878,0,0.0004
136879,0,0.0059
136880,0,0.0028
136881,0,0.003
136882,0,0.0007
136883,0,0.001
136884,0,0.0019
136885,0,0.0154
136886,0,0.0012
136887,0,0.0016
136888,0,0.0059
136889,0,0.0028
136890,0,0.0022
136891,0,0.0021
136892,0,0.0015
136893,0,0.0024
136894,0,0.0007
136895,0,0.0013
136896,0,0.001
136897,0,0.0051
136898,0,0.0017
136899,0,0.0017
136900,0,0.0018
136901,0,0.0019
136902,0,0.0019
136903,0,0.0006
136904,0,0.003
136905,0,0.0016
136906,0,0.0008
136907,0,0.0021
136908,0,0.0011
136909,0,0.0018
136910,0,0.0039
136911,0,0.0033
136912,0,0.0068
136913,0,0.0077
136914,0,0.001
136915,0,0.0031
136916,0,0.0009
136917,0,0.0022
136918,0,0.0008
136919,0,0.0026
136920,0,0.001
136921,0,0.0074
136922,0,0.0016
136923,0,0.0012
136924,0,0.0012
136925,0,0.0005
136926,0,0.0006
136927,0,0.0016
136928,0,0.0018
136929,0,0.0029
136930,0,0.0036
136931,0,0.011
136932,0,0.0059
136933,0,0.0017
136934,0,0.003
136935,0,0.0013
136936,0,0.0063
136937,0,0.0008
136938,0,0.0009
136939,0,0.001
136940,0,0.0021
136941,0,0.014
136942,0,0.0013
136943,0,0.0014
136944,0,0.0913
136945,0,0.008
136946,0,0.005
136947,0,0.0026
136948,0,0.0009
136949,0,0.0039
136950,0,0.0018
136951,0,0.0025
136952,0,0.0008
136953,0,0.0026
136954,0,0.0004
136955,0,0.0014
136956,0,0.0012
136957,0,0.0021
136958,0,0.0031
136959,0,0.0021
136960,1,0.9952
136961,0,0.0072
136962,0,0.0021
136963,0,0.0076
136964,0,0.0044
136965,0,0.0098
136966,0,0.0136
136967,0,0.0019
136968,0,0.012
136969,0,0.0006
136970,0,0.0058
136971,0,0.0044
136972,0,0.0046
136973,0,0.0051
136974,0,0.0004
136975,0,0.0077
136976,0,0.0015
136977,0,0.0046
136978,0,0.0018
136979,0,0.001
136980,0,0.0007
136981,0,0.001
136982,0,0.0025
136983,0,0.0014
136984,0,0.0016
136985,0,0.0169
136986,0,0.0015
136987,0,0.0056
136988,0,0.0022
136989,0,0.0028
136990,0,0.0004
136991,0,0.0017
136992,0,0.0007
136993,0,0.0012
136994,0,0.0067
136995,0,0.0134
136996,0,0.0024
136997,0,0.0047
136998,0,0.0024
136999,0,0.0032
137000,0,0.0197
137001,0,0.0018
137002,0,0.0033
137003,0,0.003
137004,0,0.0482
137005,1,0.9998
137006,0,0.0004
137007,0,0.0017
137008,0,0.0037
137009,0,0.0134
137010,0,0.005
137011,0,0.0045
137012,0,0.0143
137013,0,0.005
137014,0,0.0009
137015,0,0.0091
137016,0,0.0053
137017,0,0.0012
137018,0,0.0018
137019,0,0.0019
137020,0,0.0338
137021,0,0.0109
137022,0,0.0007
137023,0,0.0013
137024,0,0.0024
137025,0,0.0009
137026,0,0.0135
137027,0,0.0031
137028,0,0.0016
137029,0,0.0011
137030,0,0.0097
137031,0,0.0088
137032,0,0.0033
137033,0,0.0045
137034,0,0.0049
137035,0,0.0117
137036,0,0.0039
137037,1,0.9932
137038,0,0.0039
137039,0,0.0016
137040,0,0.0009
137041,0,0.0083
137042,0,0.0007
137043,0,0.002
137044,0,0.0011
137045,0,0.0011
137046,0,0.0012
137047,0,0.0016
137048,0,0.0048
137049,0,0.0062
137050,0,0.0006
137051,0,0.0031
137052,0,0.0061
137053,0,0.0024
137054,0,0.0011
137055,0,0.0024
137056,0,0.001
137057,0,0.001
137058,0,0.0021
137059,0,0.0065
137060,0,0.0008
137061,0,0.001
137062,0,0.0098
137063,0,0.0047
137064,0,0.0043
137065,0,0.0123
137066,0,0.0046
137067,0,0.001
137068,0,0.0015
137069,0,0.0027
137070,0,0.003
137071,0,0.0022
137072,0,0.0007
137073,0,0.0018
137074,0,0.0053
137075,0,0.0032
137076,0,0.0006
137077,0,0.0017
137078,0,0.0016
137079,0,0.0036
137080,0,0.0043
137081,0,0.0038
137082,0,0.0012
137083,0,0.0004
137084,0,0.0021
137085,0,0.0059
137086,0,0.0049
137087,0,0.0016
137088,0,0.0138
137089,0,0.0013
137090,0,0.0023
137091,0,0.0008
137092,0,0.0091
137093,0,0.0055
137094,0,0.0108
137095,0,0.004
137096,0,0.0009
137097,0,0.0065
137098,0,0.0058
137099,0,0.0033
137100,0,0.0011
137101,0,0.0025
137102,0,0.0048
137103,0,0.0094
137104,0,0.0003
137105,0,0.001
137106,0,0.0204
137107,0,0.0029
137108,0,0.0014
137109,0,0.0016
137110,0,0.011
137111,0,0.0149
137112,1,0.9833
137113,0,0.0222
137114,0,0.001
137115,0,0.0008
137116,0,0.0046
137117,0,0.001
137118,0,0.0024
137119,0,0.0113
137120,0,0.0014
137121,0,0.001
137122,0,0.0048
137123,0,0.0019
137124,0,0.0135
137125,0,0.0007
137126,0,0.0006
137127,0,0.0037
137128,0,0.0012
137129,0,0.0016
137130,0,0.0018
137131,0,0.0023
137132,0,0.0016
137133,0,0.0013
137134,0,0.0134
137135,0,0.0063
137136,0,0.0008
137137,0,0.0006
137138,0,0.0027
137139,0,0.0011
137140,0,0.0114
137141,0,0.0015
137142,0,0.0031
137143,0,0.0016
137144,0,0.0016
137145,0,0.0007
137146,0,0.0025
137147,0,0.0005
137148,0,0.0067
137149,0,0.003
137150,0,0.0047
137151,0,0.0013
137152,0,0.003
137153,0,0.0209
137154,0,0.0036
137155,0,0.0027
137156,0,0.0074
137157,0,0.0034
137158,0,0.001
137159,0,0.0027
137160,0,0.003
137161,0,0.0022
137162,0,0.0027
137163,0,0.0006
137164,0,0.0025
137165,0,0.004
137166,0,0.0027
137167,0,0.0042
137168,0,0.0027
137169,0,0.0036
137170,0,0.0016
137171,0,0.0021
137172,0,0.0011
137173,0,0.0029
137174,0,0.0004
137175,0,0.0036
137176,0,0.0014
137177,0,0.0044
137178,0,0.0014
137179,0,0.0028
137180,0,0.0009
137181,0,0.0024
137182,0,0.0097
137183,0,0.0018
137184,0,0.0022
137185,0,0.0052
137186,0,0.0022
137187,0,0.0009
137188,0,0.0087
137189,0,0.0097
137190,0,0.0013
137191,0,0.0015
137192,1,0.5463
137193,0,0.001
137194,0,0.002
137195,0,0.0159
137196,0,0.0058
137197,0,0.0032
137198,0,0.0077
137199,0,0.0005
137200,0,0.0012
137201,0,0.0063
137202,0,0.0044
137203,0,0.0011
137204,0,0.0005
137205,0,0.0024
137206,0,0.0012
137207,0,0.0069
137208,0,0.0074
137209,0,0.0011
137210,0,0.0031
137211,0,0.002
137212,0,0.0052
137213,0,0.0016
137214,0,0.0008
137215,0,0.0042
137216,0,0.0058
137217,0,0.0028
137218,0,0.0063
137219,0,0.0015
137220,0,0.0047
137221,0,0.0037
137222,0,0.0053
137223,0,0.0019
137224,0,0.0025
137225,0,0.0007
137226,0,0.0011
137227,0,0.0021
137228,0,0.0082
137229,0,0.0027
137230,0,0.0007
137231,0,0.0058
137232,0,0.0011
137233,0,0.0035
137234,0,0.0012
137235,0,0.0012
137236,0,0.0011
137237,0,0.0007
137238,0,0.0013
137239,0,0.0032
137240,0,0.0009
137241,0,0.0075
137242,0,0.0095
137243,0,0.0038
137244,0,0.0089
137245,0,0.0118
137246,0,0.0046
137247,0,0.0008
137248,0,0.0018
137249,0,0.0079
137250,0,0.0018
137251,0,0.004
137252,0,0.0021
137253,0,0.0012
137254,0,0.0005
137255,0,0.0069
137256,0,0.0058
137257,0,0.0013
137258,0,0.0007
137259,0,0.001
137260,0,0.004
137261,0,0.0029
137262,0,0.0034
137263,0,0.008
137264,0,0.0116
137265,0,0.0078
137266,0,0.0011
137267,0,0.0005
137268,0,0.0006
137269,0,0.0013
137270,0,0.001
137271,0,0.0011
137272,0,0.019
137273,0,0.0007
137274,0,0.0013
137275,0,0.0017
137276,0,0.0008
137277,0,0.0049
137278,0,0.0017
137279,0,0.0069
137280,0,0.0004
137281,0,0.0021
137282,0,0.002
137283,0,0.0073
137284,0,0.0017
137285,0,0.0017
137286,0,0.0044
137287,0,0.0024
137288,0,0.0108
137289,0,0.0014
137290,0,0.0014
137291,0,0.0011
137292,0,0.0023
137293,0,0.0031
137294,0,0.0028
137295,0,0.0014
137296,0,0.0045
137297,0,0.0045
137298,0,0.0051
137299,0,0.0011
137300,0,0.0059
137301,0,0.0018
137302,0,0.0009
137303,0,0.0049
137304,0,0.0055
137305,0,0.018
137306,0,0.0054
137307,0,0.0019
137308,0,0.0028
137309,0,0.0017
137310,0,0.0027
137311,0,0.0045
137312,0,0.0104
137313,0,0.0015
137314,0,0.0013
137315,0,0.0023
137316,0,0.0007
137317,0,0.0012
137318,0,0.002
137319,0,0.003
137320,0,0.0029
137321,0,0.0008
137322,0,0.0019
137323,0,0.0085
137324,0,0.0074
137325,0,0.0116
137326,0,0.0005
137327,0,0.0028
137328,0,0.0076
137329,0,0.0017
137330,0,0.0074
137331,0,0.0052
137332,0,0.0012
137333,0,0.0045
137334,0,0.0037
137335,0,0.0023
137336,0,0.0158
137337,0,0.0016
137338,0,0.0032
137339,0,0.0015
137340,0,0.0007
137341,0,0.0005
137342,0,0.0007
137343,0,0.0038
137344,0,0.0031
137345,0,0.0017
137346,0,0.0063
137347,0,0.0057
137348,0,0.0027
137349,0,0.0016
137350,0,0.0013
137351,0,0.0063
137352,0,0.0015
137353,0,0.0035
137354,0,0.0004
137355,0,0.0013
137356,0,0.0004
137357,0,0.001
137358,0,0.0005
137359,0,0.0015
137360,0,0.0042
137361,0,0.0014
137362,0,0.002
137363,0,0.0009
137364,0,0.0061
137365,0,0.0005
137366,0,0.0046
137367,0,0.0187
137368,0,0.0013
137369,0,0.0023
137370,0,0.0006
137371,0,0.0065
137372,0,0.0016
137373,0,0.0028
137374,0,0.0007
137375,0,0.0015
137376,0,0.0017
137377,0,0.0003
137378,0,0.0023
137379,1,0.9975
137380,0,0.0119
137381,0,0.001
137382,0,0.0005
137383,0,0.0019
137384,0,0.0025
137385,1,0.9877
137386,0,0.0005
137387,0,0.0002
137388,0,0.0007
137389,0,0.0015
137390,0,0.0005
137391,0,0.0008
137392,0,0.0007
137393,0,0.0033
137394,0,0.0026
137395,0,0.0017
137396,0,0.0009
137397,0,0.0026
137398,0,0.0012
137399,0,0.0209
137400,0,0.001
137401,0,0.0072
137402,0,0.0011
137403,0,0.0115
137404,0,0.0032
137405,0,0.0026
137406,0,0.0045
137407,0,0.001
137408,0,0.0028
137409,0,0.0084
137410,0,0.0035
137411,0,0.001
137412,0,0.001
137413,0,0.006
137414,0,0.0007
137415,0,0.0021
137416,0,0.0007
137417,0,0.0066
137418,0,0.0018
137419,0,0.0054
137420,0,0.0022
137421,0,0.0005
137422,0,0.0027
137423,0,0.0079
137424,0,0.0087
137425,0,0.0028
137426,0,0.0088
137427,0,0.0042
137428,0,0.0024
137429,0,0.0016
137430,0,0.004
137431,0,0.0066
137432,0,0.0018
137433,0,0.003
137434,0,0.0036
137435,0,0.0033
137436,0,0.0008
137437,1,0.9902
137438,0,0.001
137439,0,0.0006
137440,0,0.0032
137441,0,0.0066
137442,0,0.0038
137443,0,0.007
137444,0,0.0034
137445,0,0.0022
137446,0,0.004
137447,0,0.0046
137448,0,0.001
137449,0,0.0015
137450,0,0.0016
137451,0,0.0024
137452,0,0.0012
137453,0,0.001
137454,0,0.0048
137455,0,0.0043
137456,0,0.0022
137457,0,0.0014
137458,0,0.0044
137459,0,0.0009
137460,0,0.0044
137461,0,0.0041
137462,0,0.002
137463,0,0.0068
137464,0,0.001
137465,0,0.0019
137466,0,0.0009
137467,0,0.0123
137468,0,0.0024
137469,0,0.0004
137470,0,0.0023
137471,0,0.0025
137472,0,0.0005
137473,0,0.0028
137474,0,0.0013
137475,0,0.0019
137476,0,0.0038
137477,0,0.0035
137478,0,0.0156
137479,0,0.002
137480,0,0.0062
137481,0,0.0011
137482,0,0.0016
137483,0,0.0011
137484,0,0.0014
137485,0,0.0004
137486,0,0.013
137487,0,0.0118
137488,0,0.0009
137489,0,0.0038
137490,0,0.0083
137491,0,0.0028
137492,0,0.0009
137493,0,0.0063
137494,0,0.0022
137495,0,0.0017
137496,0,0.0004
137497,0,0.002
137498,0,0.004
137499,0,0.004
137500,0,0.0016
137501,0,0.0009
137502,0,0.0007
137503,0,0.0056
137504,0,0.0044
137505,0,0.0011
137506,0,0.0047
137507,0,0.0107
137508,0,0.0006
137509,0,0.0022
137510,0,0.0029
137511,0,0.0007
137512,0,0.0013
137513,0,0.0045
137514,0,0.0014
137515,0,0.0025
137516,0,0.0009
137517,0,0.0013
137518,0,0.0009
137519,0,0.0047
137520,0,0.0017
137521,0,0.0021
137522,0,0.0013
137523,0,0.0033
137524,0,0.0024
137525,0,0.0015
137526,0,0.0016
137527,0,0.0062
137528,0,0.0152
137529,0,0.0009
137530,0,0.0024
137531,0,0.0081
137532,0,0.0019
137533,0,0.0039
137534,0,0.0016
137535,0,0.002
137536,0,0.0036
137537,1,0.9848
137538,0,0.0019
137539,0,0.0009
137540,0,0.0096
137541,0,0.0014
137542,0,0.0023
137543,0,0.0026
137544,0,0.0021
137545,0,0.0008
137546,0,0.0013
137547,0,0.0009
137548,0,0.0021
137549,0,0.0027
137550,0,0.0037
137551,0,0.0014
137552,0,0.0018
137553,0,0.0009
137554,0,0.0042
137555,0,0.0039
137556,0,0.0088
137557,0,0.0016
137558,0,0.0016
137559,0,0.0001
137560,0,0.0007
137561,0,0.0015
137562,0,0.0058
137563,0,0.0007
137564,0,0.0024
137565,0,0.0032
137566,0,0.0141
137567,0,0.0009
137568,0,0.0008
137569,0,0.0026
137570,0,0.0021
137571,0,0.0012
137572,0,0.0014
137573,0,0.0052
137574,0,0.0098
137575,0,0.0023
137576,0,0.0021
137577,0,0.0021
137578,0,0.0018
137579,0,0.0011
137580,0,0.0018
137581,0,0.0036
137582,0,0.0068
137583,0,0.0006
137584,0,0.0011
137585,0,0.0009
137586,0,0.0035
137587,0,0.0199
137588,0,0.0033
137589,0,0.0037
137590,0,0.0121
137591,0,0.0015
137592,0,0.0022
137593,0,0.0068
137594,0,0.0035
137595,0,0.0015
137596,0,0.0025
137597,0,0.0024
137598,0,0.0024
137599,0,0.0026
137600,0,0.0013
137601,0,0.0044
137602,0,0.0074
137603,0,0.0012
137604,0,0.0016
137605,0,0.0066
137606,0,0.001
137607,0,0.0009
137608,0,0.0121
137609,0,0.0031
137610,0,0.0024
137611,0,0.0044
137612,0,0.0042
137613,0,0.0017
137614,0,0.0021
137615,0,0.0068
137616,0,0.0016
137617,0,0.0043
137618,0,0.0012
137619,0,0.0011
137620,0,0.0003
137621,0,0.001
137622,0,0.0048
137623,0,0.0045
137624,0,0.0051
137625,0,0.004
137626,0,0.002
137627,0,0.0018
137628,0,0.0027
137629,0,0.0007
137630,1,0.9904
137631,0,0.0011
137632,0,0.0068
137633,0,0.002
137634,0,0.0058
137635,0,0.0019
137636,0,0.008
137637,0,0.0027
137638,0,0.0012
137639,0,0.0153
137640,0,0.0009
137641,0,0.0151
137642,0,0.0077
137643,0,0.0034
137644,0,0.0022
137645,0,0.0035
137646,0,0.0178
137647,0,0.0017
137648,0,0.0023
137649,0,0.0005
137650,0,0.0007
137651,0,0.0016
137652,0,0.0012
137653,0,0.0016
137654,0,0.0042
137655,0,0.0024
137656,0,0.0011
137657,0,0.002
137658,0,0.001
137659,0,0.0017
137660,0,0.001
137661,0,0.0051
137662,0,0.0021
137663,0,0.0015
137664,0,0.0125
137665,0,0.0008
137666,0,0.001
137667,0,0.0011
137668,0,0.0016
137669,0,0.0115
137670,0,0.0017
137671,0,0.0009
137672,0,0.0025
137673,0,0.0114
137674,0,0.0192
137675,0,0.0014
137676,0,0.0089
137677,0,0.0171
137678,0,0.0014
137679,0,0.006
137680,0,0.0006
137681,0,0.0009
137682,0,0.0013
137683,0,0.0018
137684,0,0.0023
137685,0,0.002
137686,0,0.0042
137687,0,0.0017
137688,0,0.0009
137689,0,0.0005
137690,0,0.0011
137691,0,0.0094
137692,0,0.0034
137693,0,0.0008
137694,0,0.0022
137695,0,0.0022
137696,0,0.0004
137697,0,0.002
137698,0,0.0014
137699,0,0.005
137700,0,0.0022
137701,0,0.0018
137702,0,0.0009
137703,0,0.0011
137704,0,0.0009
137705,0,0.0073
137706,0,0.0019
137707,0,0.0048
137708,0,0.0019
137709,0,0.0047
137710,0,0.0018
137711,0,0.0021
137712,0,0.0497
137713,0,0.0011
137714,0,0.01
137715,0,0.0025
137716,0,0.0009
137717,0,0.0011
137718,0,0.0042
137719,0,0.0112
137720,0,0.0137
137721,0,0.003
137722,0,0.0024
137723,0,0.0019
137724,0,0.0066
137725,0,0.0114
137726,0,0.0024
137727,0,0.0097
137728,0,0.0009
137729,0,0.004
137730,0,0.0007
137731,0,0.0012
137732,0,0.0027
137733,0,0.0018
137734,0,0.0006
137735,0,0.0058
137736,0,0.0029
137737,0,0.0035
137738,0,0.0017
137739,0,0.0028
137740,0,0.004
137741,0,0.0097
137742,0,0.0013
137743,0,0.0008
137744,0,0.0049
137745,0,0.0011
137746,0,0.0012
137747,0,0.0011
137748,0,0.0013
137749,0,0.0049
137750,0,0.0018
137751,0,0.0158
137752,0,0.0008
137753,0,0.0028
137754,0,0.01
137755,0,0.0077
137756,0,0.0025
137757,0,0.0023
137758,0,0.0025
137759,0,0.001
137760,0,0.0033
137761,0,0.0017
137762,0,0.0012
137763,0,0.0016
137764,0,0.0017
137765,0,0.0029
137766,0,0.0024
137767,0,0.0016
137768,0,0.0017
137769,0,0.0023
137770,0,0.0026
137771,0,0.0003
137772,0,0.0013
137773,0,0.0025
137774,0,0.0022
137775,0,0.0015
137776,0,0.0005
137777,0,0.0026
137778,0,0.0035
137779,0,0.0025
137780,0,0.0021
137781,0,0.0113
137782,0,0.0009
137783,0,0.001
137784,0,0.0012
137785,0,0.003
137786,0,0.0008
137787,0,0.001
137788,0,0.0043
137789,0,0.0017
137790,0,0.0043
137791,0,0.0016
137792,0,0.0028
137793,0,0.0009
137794,0,0.0018
137795,0,0.0029
137796,0,0.0012
137797,0,0.0013
137798,0,0.0068
137799,0,0.0039
137800,0,0.0021
137801,0,0.0042
137802,0,0.0023
137803,0,0.0007
137804,0,0.0008
137805,0,0.0016
137806,0,0.0023
137807,0,0.0304
137808,0,0.0053
137809,1,0.9975
137810,0,0.0012
137811,0,0.0005
137812,0,0.0016
137813,0,0.0006
137814,0,0.0045
137815,0,0.0016
137816,0,0.0034
137817,0,0.0138
137818,0,0.0018
137819,0,0.0055
137820,0,0.0025
137821,0,0.0012
137822,0,0.0094
137823,0,0.0022
137824,0,0.0008
137825,0,0.0463
137826,0,0.0018
137827,0,0.0023
137828,0,0.0014
137829,0,0.0054
137830,0,0.0058
137831,0,0.0016
137832,0,0.0017
137833,0,0.0081
137834,0,0.006
137835,0,0.0035
137836,0,0.0013
137837,0,0.0036
137838,0,0.001
137839,0,0.0011
