id,loan_status,probs
58884,0,0.2316
58885,0,0.2533
58886,0,0.004
58887,1,0.9155
58888,0,0.4384
58889,1,0.9889
58890,0,0.0953
58891,1,0.725
58892,0,0.0714
58893,0,0.0091
58894,0,0.0568
58895,0,0.0004
58896,0,0.0011
58897,0,0.0437
58898,0,0.0806
58899,1,0.9001
58900,0,0.008
58901,0,0.0111
58902,0,0.1179
58903,0,0.0066
58904,0,0.0269
58905,0,0.0026
58906,0,0.0702
58907,0,0.0711
58908,0,0.0051
58909,0,0.0216
58910,0,0.0025
58911,0,0.0397
58912,0,0.0002
58913,0,0.19
58914,0,0.0249
58915,0,0.006
58916,0,0.0161
58917,0,0.0489
58918,0,0.0121
58919,0,0.0027
58920,0,0.1116
58921,0,0.0013
58922,0,0.0351
58923,0,0.0018
58924,0,0.0315
58925,0,0.0051
58926,0,0.0422
58927,0,0.0062
58928,0,0.0778
58929,0,1e-04
58930,0,0.0094
58931,1,0.9913
58932,1,0.9736
58933,0,0.1735
58934,0,0.0211
58935,0,0.0205
58936,0,0.023
58937,0,0.0337
58938,0,0.0178
58939,0,0.0005
58940,0,0.0047
58941,1,0.9837
58942,1,0.9622
58943,0,0.109
58944,0,0.0066
58945,0,0.0201
58946,0,0.0121
58947,0,0.0053
58948,0,0.0321
58949,0,1e-04
58950,0,0.186
58951,0,0.0164
58952,0,0.0072
58953,0,0.0035
58954,1,0.9939
58955,0,0.0031
58956,0,0.0006
58957,1,0.9927
58958,1,0.9991
58959,0,0.0038
58960,0,0.0167
58961,0,0.0027
58962,0,0.1205
58963,0,0.0781
58964,0,0.036
58965,0,0.0252
58966,0,0.0283
58967,0,0.0019
58968,0,0.0133
58969,0,0.3389
58970,0,0.001
58971,0,0.0999
58972,0,0.0306
58973,1,0.9984
58974,0,0.121
58975,0,0.0269
58976,0,0.0251
58977,0,0.0352
58978,0,0.0176
58979,0,0.0121
58980,0,0.0163
58981,0,0.0005
58982,0,0.0145
58983,0,0.0018
58984,0,0.0135
58985,0,0.019
58986,1,0.9868
58987,0,0.0019
58988,0,0.0209
58989,0,0.0441
58990,0,0.0007
58991,0,0.016
58992,0,0.0244
58993,0,0.0009
58994,0,0.0153
58995,1,0.9986
58996,0,0.0196
58997,1,0.8971
58998,0,0.0079
58999,0,0.0057
59000,0,0.0583
59001,0,0.1357
59002,0,0.1356
59003,0,0.038
59004,0,0.0258
59005,0,0.005
59006,0,0.0475
59007,0,0.0472
59008,1,0.9892
59009,0,0.0084
59010,0,0.0083
59011,0,0.0045
59012,0,0.0708
59013,0,0.0005
59014,0,0.0071
59015,0,0.1483
59016,0,0.0022
59017,0,0.0139
59018,0,0.0175
59019,0,0.006
59020,0,0.001
59021,0,0.0171
59022,0,0.0909
59023,1,0.9861
59024,0,0.0478
59025,1,0.9882
59026,0,0.0173
59027,0,0.0044
59028,0,0.0162
59029,0,0.0495
59030,0,0.001
59031,1,0.705
59032,1,0.7617
59033,0,0.138
59034,0,0.0376
59035,0,0.0066
59036,0,0.0686
59037,0,0.0789
59038,0,0.0099
59039,0,0.0109
59040,0,0.0099
59041,0,0.0135
59042,0,0.0263
59043,1,0.9848
59044,0,0.0027
59045,0,0.0031
59046,0,0.2279
59047,0,0.3999
59048,0,0.0064
59049,0,0.0236
59050,0,0.0011
59051,0,0.0254
59052,0,0.0007
59053,0,0.0444
59054,0,0.0055
59055,0,0.0391
59056,0,0.007
59057,1,0.9612
59058,0,0.0009
59059,0,0.061
59060,0,0.0004
59061,0,0.0044
59062,0,0.0108
59063,0,0.0003
59064,0,0.014
59065,0,0.0004
59066,0,0.0251
59067,0,0.0019
59068,0,0.0182
59069,0,0.0225
59070,0,0.0136
59071,0,0.0831
59072,0,0.0118
59073,1,0.982
59074,0,0.0213
59075,0,0.0108
59076,0,0.214
59077,1,0.9925
59078,0,0.0624
59079,0,0.0167
59080,0,0.0022
59081,0,0.0053
59082,0,0.0258
59083,0,0.009
59084,0,0.0004
59085,0,0.0636
59086,0,0.365
59087,0,0.0895
59088,0,0.0519
59089,0,0.0379
59090,0,0.0294
59091,0,0.0003
59092,0,0.1066
59093,0,0.0181
59094,0,0.0052
59095,0,0.0
59096,1,0.9888
59097,0,0.0437
59098,0,0.0192
59099,0,0.0086
59100,0,0.0015
59101,0,0.0054
59102,0,0.1316
59103,0,0.0152
59104,0,0.0002
59105,0,0.0264
59106,0,0.0004
59107,0,0.0338
59108,0,0.0529
59109,0,0.0356
59110,0,0.0205
59111,0,0.0027
59112,0,0.0158
59113,1,0.9848
59114,0,0.0395
59115,0,0.1264
59116,0,0.0004
59117,0,0.0072
59118,0,0.0216
59119,0,0.0088
59120,0,0.0009
59121,0,0.009
59122,0,0.0457
59123,1,0.9836
59124,1,0.9483
59125,0,0.0248
59126,1,0.7547
59127,0,0.0069
59128,0,0.0099
59129,0,0.0033
59130,0,0.0092
59131,0,0.0384
59132,0,0.1808
59133,1,0.7623
59134,0,0.0173
59135,0,0.0
59136,0,0.0022
59137,0,0.0273
59138,0,0.018
59139,0,0.0019
59140,0,0.0423
59141,1,0.9818
59142,0,0.1691
59143,0,0.0162
59144,0,0.0103
59145,0,0.0507
59146,0,0.1843
59147,0,0.018
59148,0,0.0237
59149,0,0.0063
59150,0,0.0033
59151,0,0.0436
59152,0,0.0378
59153,0,0.0097
59154,0,0.0313
59155,0,0.1444
59156,0,0.0857
59157,0,0.0358
59158,0,0.0368
59159,0,0.0017
59160,0,0.0249
59161,0,0.0054
59162,0,0.0042
59163,0,0.0152
59164,0,0.0158
59165,0,0.0948
59166,0,0.0004
59167,0,0.0112
59168,0,0.0793
59169,1,0.9761
59170,0,0.0141
59171,0,0.0163
59172,0,0.3063
59173,0,0.0003
59174,0,0.0008
59175,0,0.0008
59176,0,0.0484
59177,0,0.0063
59178,0,0.0007
59179,0,0.0055
59180,0,0.2223
59181,0,0.0882
59182,1,0.9952
59183,0,0.0202
59184,0,0.0258
59185,0,0.2653
59186,0,0.0038
59187,0,0.0055
59188,0,0.02
59189,0,0.0068
59190,0,0.0005
59191,0,0.0042
59192,0,0.0717
59193,0,0.0048
59194,0,0.0497
59195,0,0.0273
59196,0,0.0086
59197,0,0.0262
59198,0,0.0168
59199,0,0.0057
59200,1,0.9988
59201,0,0.0028
59202,0,0.0083
59203,0,0.4234
59204,0,0.0506
59205,0,0.004
59206,0,0.0008
59207,0,0.0263
59208,0,0.012
59209,0,0.0023
59210,0,0.0063
59211,0,0.0622
59212,0,0.0303
59213,0,0.015
59214,0,0.0158
59215,0,0.0018
59216,0,0.0145
59217,0,0.0005
59218,0,0.0004
59219,0,0.0053
59220,1,0.6355
59221,1,0.9891
59222,0,0.0151
59223,0,0.0234
59224,0,0.0949
59225,0,0.0061
59226,0,0.0028
59227,0,0.1125
59228,0,0.141
59229,0,0.001
59230,0,0.0017
59231,0,0.0005
59232,0,0.0914
59233,0,0.0066
59234,0,0.0268
59235,0,0.0026
59236,0,0.1681
59237,0,0.0376
59238,0,0.0029
59239,0,0.3687
59240,0,0.0035
59241,0,0.0137
59242,0,0.0303
59243,1,0.9843
59244,0,0.013
59245,1,0.9256
59246,0,0.0075
59247,0,0.0167
59248,0,0.0015
59249,0,0.1152
59250,0,0.4898
59251,0,0.0427
59252,0,0.0065
59253,0,0.0833
59254,0,0.0242
59255,0,0.0023
59256,0,0.0002
59257,1,0.997
59258,0,0.0048
59259,1,0.9995
59260,0,0.0055
59261,0,0.0123
59262,0,0.1263
59263,0,0.0003
59264,0,0.1998
59265,1,0.6656
59266,0,0.0272
59267,0,0.2811
59268,0,0.0606
59269,0,0.0027
59270,1,0.9973
59271,0,0.0028
59272,1,0.9788
59273,0,0.0125
59274,0,0.1314
59275,0,0.0078
59276,0,0.0548
59277,0,0.0045
59278,0,0.0408
59279,0,0.0015
59280,0,0.0004
59281,0,0.0242
59282,0,0.0028
59283,0,0.0032
59284,0,0.0006
59285,0,0.0182
59286,0,0.0583
59287,0,0.0117
59288,1,0.9975
59289,0,0.0034
59290,0,0.1199
59291,0,0.0311
59292,0,0.0004
59293,0,0.0278
59294,1,0.9729
59295,0,0.335
59296,0,0.0019
59297,0,0.0168
59298,0,0.0276
59299,0,0.0088
59300,0,0.1289
59301,0,0.0081
59302,0,0.0269
59303,0,0.0519
59304,0,0.0444
59305,0,0.1572
59306,0,0.0167
59307,0,0.0089
59308,0,0.005
59309,0,0.0029
59310,0,0.0027
59311,0,0.0633
59312,0,0.0326
59313,1,0.9456
59314,0,0.3273
59315,0,0.0039
59316,0,0.4456
59317,0,0.0199
59318,0,0.0063
59319,0,0.0549
59320,0,0.0064
59321,0,0.1223
59322,0,0.0322
59323,0,0.2378
59324,1,0.9426
59325,0,0.004
59326,0,0.0259
59327,0,0.0227
59328,0,0.002
59329,0,0.015
59330,0,0.1903
59331,0,0.0119
59332,0,0.0032
59333,0,0.001
59334,0,0.0459
59335,0,0.0046
59336,0,0.0583
59337,0,0.0072
59338,0,0.2131
59339,0,0.4916
59340,0,0.4334
59341,0,0.074
59342,0,0.1325
59343,0,0.0145
59344,0,0.0224
59345,0,0.0069
59346,0,0.0025
59347,0,0.0576
59348,0,0.0109
59349,0,0.034
59350,0,0.0105
59351,0,0.0296
59352,0,0.0495
59353,1,0.9475
59354,1,0.9331
59355,0,1e-04
59356,0,0.0127
59357,0,0.0061
59358,0,0.0084
59359,0,0.0207
59360,1,0.9922
59361,0,0.0099
59362,0,0.3815
59363,0,0.0003
59364,0,0.0005
59365,0,0.0013
59366,0,0.0012
59367,0,0.0294
59368,1,0.9575
59369,0,0.0172
59370,0,0.0037
59371,0,0.0012
59372,1,0.5346
59373,0,0.0389
59374,0,0.0015
59375,1,0.9497
59376,1,0.9669
59377,0,0.4678
59378,0,0.0686
59379,0,0.0249
59380,0,0.0257
59381,0,0.0041
59382,0,0.1145
59383,1,0.9858
59384,0,0.0157
59385,0,0.0063
59386,0,0.0816
59387,1,0.9936
59388,0,0.1033
59389,0,0.0192
59390,0,0.1236
59391,0,0.0885
59392,0,0.3032
59393,1,0.9135
59394,1,0.9308
59395,0,0.1524
59396,0,0.0089
59397,0,0.0127
59398,0,0.0218
59399,0,0.003
59400,0,0.0127
59401,0,0.0148
59402,0,0.1195
59403,0,0.0085
59404,0,0.0044
59405,0,0.0003
59406,0,0.0103
59407,0,0.0275
59408,0,0.1663
59409,0,0.0182
59410,0,0.0
59411,0,0.0054
59412,0,0.013
59413,0,1e-04
59414,0,0.0308
59415,0,0.0085
59416,0,0.0028
59417,0,0.0052
59418,0,0.0073
59419,0,0.0011
59420,0,0.2075
59421,0,0.2692
59422,0,0.028
59423,0,0.0318
59424,1,0.9654
59425,0,0.0228
59426,0,0.0069
59427,0,0.0031
59428,0,0.0977
59429,0,0.0058
59430,0,0.0017
59431,0,0.0028
59432,0,0.007
59433,0,0.0144
59434,0,0.0005
59435,0,0.0002
59436,0,0.0002
59437,0,0.006
59438,0,0.3146
59439,0,0.0257
59440,0,0.0011
59441,0,0.0115
59442,0,0.0004
59443,0,1e-04
59444,0,0.0353
59445,0,0.037
59446,0,0.0535
59447,0,0.0028
59448,0,0.0042
59449,0,0.021
59450,0,0.0398
59451,1,0.9863
59452,0,0.0406
59453,0,0.0122
59454,0,0.0125
59455,0,0.0288
59456,0,0.0335
59457,1,0.9922
59458,0,0.1054
59459,0,0.1195
59460,0,0.0316
59461,0,0.0016
59462,1,0.7908
59463,0,0.0009
59464,0,0.4562
59465,0,0.0647
59466,0,0.0645
59467,0,0.029
59468,0,0.0006
59469,0,0.1138
59470,0,0.0005
59471,0,0.0023
59472,0,0.1023
59473,0,0.0064
59474,0,0.0153
59475,0,0.0437
59476,0,0.0045
59477,0,0.0185
59478,0,0.0026
59479,0,0.0218
59480,0,0.0065
59481,0,0.1016
59482,1,0.9797
59483,0,0.0026
59484,0,0.0024
59485,0,0.0234
59486,0,0.0903
59487,0,0.2621
59488,0,0.0268
59489,0,0.0424
59490,0,0.0014
59491,1,0.993
59492,0,0.0059
59493,0,0.0089
59494,0,0.0007
59495,1,0.8979
59496,0,0.0065
59497,1,0.9956
59498,0,0.0325
59499,0,0.0612
59500,1,0.9949
59501,0,0.0051
59502,1,0.9125
59503,0,0.3881
59504,0,0.0008
59505,0,0.0366
59506,0,0.0007
59507,0,0.0011
59508,0,0.014
59509,0,0.0277
59510,0,0.0084
59511,0,0.0003
59512,0,0.0035
59513,0,0.146
59514,0,0.0072
59515,0,0.0141
59516,0,0.012
59517,1,0.7995
59518,0,0.0022
59519,0,0.0007
59520,0,0.0038
59521,0,0.0187
59522,0,0.0516
59523,0,0.0038
59524,0,0.01
59525,1,0.8913
59526,0,0.2228
59527,0,0.012
59528,0,0.0129
59529,0,0.0475
59530,1,0.9232
59531,0,0.0019
59532,0,1e-04
59533,0,0.0552
59534,0,0.0259
59535,0,0.0136
59536,0,0.0225
59537,0,0.0099
59538,0,0.1027
59539,0,0.0231
59540,1,0.7861
59541,0,0.0052
59542,0,0.0314
59543,0,0.0044
59544,0,0.159
59545,0,0.0186
59546,0,0.0082
59547,0,0.0124
59548,0,0.0009
59549,0,0.0341
59550,0,0.0078
59551,0,0.0124
59552,0,0.0036
59553,0,0.0045
59554,1,0.9678
59555,0,0.0039
59556,0,0.0017
59557,0,0.0061
59558,0,0.0297
59559,0,0.0084
59560,0,0.0016
59561,0,0.0024
59562,0,0.0908
59563,0,0.0496
59564,0,0.1098
59565,0,0.0064
59566,0,0.0045
59567,0,0.0137
59568,0,0.0015
59569,0,0.0009
59570,0,0.0138
59571,0,0.0182
59572,0,0.0084
59573,0,0.021
59574,1,0.9202
59575,0,0.0278
59576,0,0.0373
59577,0,0.0133
59578,1,0.9589
59579,0,0.0056
59580,0,0.0063
59581,0,0.0099
59582,0,0.0108
59583,0,0.0127
59584,0,0.0002
59585,0,0.0131
59586,0,0.0171
59587,0,0.0055
59588,0,0.1357
59589,0,0.1011
59590,0,0.0004
59591,0,0.4691
59592,0,0.0155
59593,0,0.0037
59594,0,0.103
59595,0,0.0026
59596,0,0.0483
59597,1,0.9839
59598,0,0.0205
59599,0,0.0495
59600,1,0.9687
59601,0,0.0013
59602,0,0.0985
59603,0,0.0398
59604,0,0.0122
59605,0,0.0023
59606,0,0.0174
59607,0,0.0708
59608,0,0.0169
59609,0,0.0032
59610,1,0.9746
59611,0,0.0052
59612,1,0.9776
59613,0,0.095
59614,0,0.1194
59615,0,0.0054
59616,0,0.0356
59617,0,0.0384
59618,0,0.148
59619,0,0.0193
59620,0,0.004
59621,0,0.0315
59622,0,0.0087
59623,0,0.0313
59624,0,0.0605
59625,0,0.0903
59626,0,0.0109
59627,0,0.0302
59628,0,0.0009
59629,0,0.0008
59630,0,0.0391
59631,0,0.0005
59632,0,0.0062
59633,0,0.0114
59634,0,0.0022
59635,0,0.0029
59636,0,0.0631
59637,0,0.0062
59638,1,0.9985
59639,0,0.0031
59640,0,0.0054
59641,0,0.0352
59642,0,0.0025
59643,0,0.0274
59644,0,0.0394
59645,0,0.139
59646,0,0.0043
59647,1,0.9818
59648,0,0.0034
59649,0,0.0085
59650,0,0.0006
59651,0,0.0005
59652,0,0.0051
59653,0,0.0019
59654,0,0.0343
59655,0,0.032
59656,0,0.087
59657,1,0.9561
59658,0,0.0021
59659,0,0.0472
59660,0,0.2576
59661,0,0.0063
59662,1,0.9303
59663,0,0.0466
59664,0,0.088
59665,0,0.0097
59666,0,0.0234
59667,0,0.002
59668,0,0.0096
59669,0,0.0045
59670,0,0.1002
59671,0,0.0018
59672,0,0.0036
59673,0,0.0051
59674,1,0.6828
59675,0,1e-04
59676,0,0.136
59677,1,0.9579
59678,0,0.0027
59679,0,0.0069
59680,0,0.0013
59681,0,0.0569
59682,0,0.0384
59683,0,0.0009
59684,0,0.0169
59685,0,0.0287
59686,0,0.1786
59687,0,0.0166
59688,0,0.0137
59689,0,0.1563
59690,0,0.0006
59691,0,0.0085
59692,0,0.0822
59693,0,0.0048
59694,0,0.156
59695,0,0.0072
59696,1,0.9745
59697,0,0.0019
59698,0,0.0085
59699,0,0.01
59700,0,0.0305
59701,0,0.002
59702,0,0.0048
59703,0,0.0181
59704,0,0.0013
59705,0,0.0807
59706,0,0.0152
59707,0,0.0105
59708,0,0.2476
59709,0,0.017
59710,0,0.0153
59711,0,0.0535
59712,0,0.0142
59713,0,0.0748
59714,1,0.9385
59715,1,0.7603
59716,0,0.0108
59717,0,0.001
59718,0,0.0429
59719,1,0.9713
59720,0,0.0029
59721,1,0.8855
59722,0,0.004
59723,0,0.0081
59724,0,0.1354
59725,0,0.0111
59726,0,0.0065
59727,0,0.0421
59728,0,0.0019
59729,0,0.0004
59730,0,0.1382
59731,0,0.0226
59732,0,0.0154
59733,0,0.0167
59734,0,0.004
59735,0,0.0022
59736,0,0.098
59737,0,0.0032
59738,0,0.132
59739,0,0.0198
59740,0,0.0139
59741,0,0.0062
59742,0,0.1353
59743,0,0.0086
59744,0,0.0553
59745,0,0.105
59746,0,0.0165
59747,1,0.9996
59748,0,0.0485
59749,0,0.0093
59750,0,0.1384
59751,0,0.0109
59752,0,0.0696
59753,0,0.0042
59754,0,0.0004
59755,0,0.0104
59756,0,0.006
59757,0,0.0018
59758,0,0.0308
59759,0,0.0079
59760,0,0.1914
59761,0,0.0076
59762,0,0.1999
59763,0,1e-04
59764,0,0.0597
59765,0,0.0043
59766,0,0.1451
59767,0,0.0508
59768,0,0.0015
59769,0,0.0059
59770,0,0.0546
59771,0,0.0114
59772,0,0.0092
59773,0,0.0017
59774,0,0.0454
59775,0,0.0885
59776,0,0.1344
59777,0,0.0605
59778,0,0.0005
59779,0,0.0271
59780,0,0.0002
59781,0,0.008
59782,0,0.0218
59783,0,0.0281
59784,0,0.0044
59785,0,0.0022
59786,0,0.3235
59787,0,0.2758
59788,0,0.0212
59789,0,0.0648
59790,0,0.0256
59791,0,0.0003
59792,0,0.0079
59793,0,0.0252
59794,1,0.8957
59795,1,0.9592
59796,0,0.0022
59797,0,0.0162
59798,0,0.0012
59799,0,0.0014
59800,0,0.062
59801,0,0.0045
59802,0,0.2512
59803,0,0.1039
59804,0,0.0306
59805,0,0.0003
59806,0,0.007
59807,0,0.008
59808,0,0.0006
59809,0,0.0084
59810,0,0.0045
59811,0,0.0124
59812,0,0.0082
59813,0,0.0047
59814,0,0.0013
59815,0,0.1695
59816,0,0.0991
59817,0,0.0005
59818,1,0.5277
59819,0,0.1474
59820,0,0.0234
59821,0,0.0625
59822,0,0.0291
59823,0,0.0369
59824,0,0.0277
59825,0,0.0025
59826,0,0.0085
59827,0,0.1501
59828,0,0.0552
59829,0,0.1341
59830,0,0.0124
59831,0,0.0074
59832,0,0.0682
59833,0,0.0461
59834,0,0.0116
59835,0,0.0052
59836,0,0.0129
59837,0,0.0594
59838,0,0.0691
59839,0,0.0359
59840,0,0.0433
59841,1,0.9817
59842,0,0.0135
59843,0,0.0395
59844,0,0.199
59845,0,0.0159
59846,0,0.001
59847,0,0.0062
59848,0,0.0052
59849,0,0.0003
59850,1,0.9903
59851,0,0.0004
59852,0,0.0112
59853,0,0.0162
59854,0,0.0003
59855,0,0.0118
59856,0,0.0017
59857,0,0.0196
59858,1,0.9945
59859,0,0.024
59860,1,0.9471
59861,0,0.008
59862,0,0.0235
59863,0,0.0026
59864,0,0.0027
59865,0,0.0243
59866,0,0.0149
59867,0,0.0587
59868,0,0.0018
59869,0,0.0126
59870,0,0.0002
59871,0,0.0009
59872,0,0.0032
59873,0,0.0034
59874,0,0.0153
59875,0,0.0248
59876,0,0.0005
59877,0,0.0501
59878,1,0.9891
59879,0,0.0132
59880,1,0.9432
59881,0,0.0004
59882,0,0.0232
59883,0,0.0808
59884,0,0.0189
59885,0,0.018
59886,0,0.025
59887,1,0.8547
59888,0,0.0056
59889,0,0.0007
59890,0,0.0017
59891,1,0.7289
59892,0,0.0236
59893,0,0.0039
59894,0,0.0069
59895,0,0.1364
59896,0,0.0009
59897,0,0.0052
59898,0,0.0082
59899,0,0.0062
59900,0,0.0224
59901,1,0.8297
59902,0,0.0093
59903,0,0.0061
59904,0,0.0898
59905,0,0.0054
59906,0,0.1503
59907,0,0.0061
59908,0,0.0036
59909,0,0.0071
59910,0,0.079
59911,0,0.0719
59912,0,0.0433
59913,0,1e-04
59914,0,0.128
59915,0,0.0102
59916,0,0.001
59917,0,0.0093
59918,0,0.0049
59919,0,0.0114
59920,0,0.0123
59921,0,0.0498
59922,0,0.077
59923,0,0.0451
59924,0,0.0009
59925,1,0.9841
59926,0,0.0067
59927,0,0.0108
59928,0,0.0013
59929,0,0.0007
59930,0,0.0126
59931,0,0.0061
59932,0,0.04
59933,0,0.0152
59934,0,0.0051
59935,0,0.0009
59936,0,0.0381
59937,0,0.0307
59938,0,0.1063
59939,0,0.2597
59940,1,0.8382
59941,0,0.0004
59942,0,0.0052
59943,0,0.0204
59944,0,0.0478
59945,0,0.0124
59946,0,0.0236
59947,0,0.0077
59948,0,0.0337
59949,1,0.993
59950,0,0.0138
59951,0,0.1293
59952,0,0.0051
59953,0,0.1994
59954,0,0.0205
59955,0,1e-04
59956,0,0.0037
59957,0,0.1203
59958,0,0.0946
59959,0,0.0093
59960,0,0.0002
59961,0,0.0311
59962,0,0.0972
59963,0,0.0048
59964,0,0.0014
59965,0,0.0036
59966,1,0.9306
59967,0,0.0138
59968,0,0.0012
59969,0,0.0008
59970,0,0.0861
59971,1,0.992
59972,1,0.9071
59973,0,0.0453
59974,0,0.0016
59975,0,0.0201
59976,0,0.0015
59977,0,0.0546
59978,0,0.1125
59979,0,0.0451
59980,1,0.9759
59981,0,0.0017
59982,1,0.931
59983,0,0.1049
59984,0,0.0012
59985,0,0.0394
59986,0,0.0359
59987,0,0.0061
59988,0,0.0495
59989,0,0.0039
59990,0,0.0254
59991,0,0.0327
59992,0,0.0009
59993,0,0.0101
59994,0,0.043
59995,1,0.9837
59996,0,0.0047
59997,0,0.048
59998,0,0.0577
59999,0,0.0045
60000,0,1e-04
60001,0,0.0153
60002,0,0.1766
60003,0,0.0061
60004,0,0.0084
60005,0,0.0213
60006,0,0.0431
60007,0,0.0226
60008,0,0.0338
60009,0,0.0218
60010,0,0.126
60011,0,0.0163
60012,0,0.0874
60013,0,0.0015
60014,0,0.0202
60015,0,0.0226
60016,0,0.3403
60017,0,0.0244
60018,0,0.0148
60019,1,0.9616
60020,0,0.0162
60021,0,0.0033
60022,1,0.5225
60023,0,0.0177
60024,1,0.9988
60025,0,0.0153
60026,0,0.17
60027,1,0.5141
60028,0,0.0027
60029,1,0.9899
60030,1,0.9608
60031,0,0.0997
60032,0,0.2582
60033,0,0.0026
60034,0,0.0003
60035,0,0.1001
60036,0,0.002
60037,0,0.0012
60038,0,0.0043
60039,0,0.0098
60040,0,0.0277
60041,0,0.0399
60042,0,0.0103
60043,0,0.0129
60044,0,0.0807
60045,0,0.0021
60046,0,0.2112
60047,0,0.0288
60048,0,0.0006
60049,0,0.0324
60050,0,0.0215
60051,1,0.9955
60052,0,0.0073
60053,0,0.0309
60054,0,0.0009
